Indicator,Country,Date,value
Cumulative number of probable Ebola deaths,Nigeria,9/26/14,1
Cumulative number of suspected Ebola deaths,Nigeria,9/26/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,9/26/14,8
Cumulative number of confirmed Ebola deaths,Senegal,9/26/14,0
Cumulative number of probable Ebola deaths,Senegal,9/26/14,0
Cumulative number of suspected Ebola deaths,Senegal,9/26/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,9/26/14,0
Cumulative number of confirmed Ebola cases,Guinea,10/1/14,950
Cumulative number of probable Ebola cases,Guinea,10/1/14,170
Cumulative number of suspected Ebola cases,Guinea,10/1/14,37
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,10/1/14,1157
Cumulative number of confirmed Ebola cases,Liberia,10/1/14,927
Cumulative number of probable Ebola cases,Liberia,10/1/14,1656
Cumulative number of suspected Ebola cases,Liberia,10/1/14,1113
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,10/1/14,3696
Cumulative number of confirmed Ebola cases,Sierra Leone,10/1/14,2076
Cumulative number of probable Ebola cases,Sierra Leone,10/1/14,37
Cumulative number of suspected Ebola cases,Sierra Leone,10/1/14,191
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,10/1/14,2304
Cumulative number of confirmed Ebola cases,Nigeria,10/1/14,19
Cumulative number of probable Ebola cases,Nigeria,10/1/14,1
Cumulative number of suspected Ebola cases,Nigeria,10/1/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,10/1/14,20
Cumulative number of confirmed Ebola cases,Senegal,10/1/14,1
Cumulative number of probable Ebola cases,Senegal,10/1/14,0
Cumulative number of suspected Ebola cases,Senegal,10/1/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,10/1/14,1
Number of confirmed Ebola cases in the last 21 days,Guinea,10/1/14,230
Number of probable Ebola cases in the last 21 days,Guinea,10/1/14,14
Number of suspected Ebola cases in the last 21 days,Guinea,10/1/14,23
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,10/1/14,270
Number of confirmed Ebola cases in the last 21 days,Liberia,10/1/14,280
Number of probable Ebola cases in the last 21 days,Liberia,10/1/14,687
Number of suspected Ebola cases in the last 21 days,Liberia,10/1/14,672
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,10/1/14,1639
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,10/1/14,788
Number of probable Ebola cases in the last 21 days,Sierra Leone,10/1/14,0
Number of suspected Ebola cases in the last 21 days,Sierra Leone,10/1/14,106
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,10/1/14,894
Proportion of confirmed Ebola cases that are from the last 21 days,Guinea,10/1/14,24
Proportion of probable Ebola cases that are from the last 21 days,Guinea,10/1/14,8
Proportion of suspected Ebola cases that are from the last 21 days,Guinea,10/1/14,62
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Guinea,10/1/14,23
Proportion of confirmed Ebola cases that are from the last 21 days,Liberia,10/1/14,30
Proportion of probable Ebola cases that are from the last 21 days,Liberia,10/1/14,42
Proportion of suspected Ebola cases that are from the last 21 days,Liberia,10/1/14,60
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Liberia,10/1/14,44
Proportion of confirmed Ebola cases that are from the last 21 days,Sierra Leone,10/1/14,38
Proportion of probable Ebola cases that are from the last 21 days,Sierra Leone,10/1/14,0
Proportion of suspected Ebola cases that are from the last 21 days,Sierra Leone,10/1/14,56
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Sierra Leone,10/1/14,39
Cumulative number of confirmed Ebola deaths,Guinea,10/1/14,535
Cumulative number of probable Ebola deaths,Guinea,10/1/14,170
Cumulative number of suspected Ebola deaths,Guinea,10/1/14,5
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,10/1/14,710
Cumulative number of confirmed Ebola deaths,Liberia,10/1/14,890
Cumulative number of probable Ebola deaths,Liberia,10/1/14,664
Cumulative number of suspected Ebola deaths,Liberia,10/1/14,444
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,10/1/14,1998
Cumulative number of confirmed Ebola deaths,Sierra Leone,10/1/14,574
Cumulative number of probable Ebola deaths,Sierra Leone,10/1/14,37
Cumulative number of suspected Ebola deaths,Sierra Leone,10/1/14,11
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,10/1/14,622
Cumulative number of confirmed Ebola deaths,Nigeria,10/1/14,7
Cumulative number of probable Ebola deaths,Nigeria,10/1/14,1
Cumulative number of suspected Ebola deaths,Nigeria,10/1/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,10/1/14,8
Cumulative number of confirmed Ebola deaths,Senegal,10/1/14,0
Cumulative number of probable Ebola deaths,Senegal,10/1/14,0
Cumulative number of suspected Ebola deaths,Senegal,10/1/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,10/1/14,0
Cumulative number of confirmed Ebola cases,Guinea,10/3/14,977
Cumulative number of probable Ebola cases,Guinea,10/3/14,177
Cumulative number of suspected Ebola cases,Guinea,10/3/14,45
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,10/3/14,1199
Cumulative number of confirmed Ebola cases,Liberia,10/3/14,931
Cumulative number of probable Ebola cases,Liberia,10/3/14,1713
Cumulative number of suspected Ebola cases,Liberia,10/3/14,1190
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,10/3/14,3834
Cumulative number of confirmed Ebola cases,Sierra Leone,10/3/14,2179
Cumulative number of probable Ebola cases,Sierra Leone,10/3/14,37
Cumulative number of suspected Ebola cases,Sierra Leone,10/3/14,221
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,10/3/14,2437
Cumulative number of confirmed Ebola cases,Nigeria,10/3/14,19
Cumulative number of probable Ebola cases,Nigeria,10/3/14,1
Cumulative number of suspected Ebola cases,Nigeria,10/3/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,10/3/14,20
Cumulative number of confirmed Ebola cases,Senegal,10/3/14,1
Cumulative number of probable Ebola cases,Senegal,10/3/14,0
Cumulative number of suspected Ebola cases,Senegal,10/3/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,10/3/14,1
Cumulative number of confirmed Ebola cases,United States of America,10/3/14,1
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,10/3/14,1
Cumulative number of confirmed Ebola deaths,Guinea,10/3/14,562
Cumulative number of probable Ebola deaths,Guinea,10/3/14,177
Cumulative number of suspected Ebola deaths,Guinea,10/3/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,10/3/14,739
Cumulative number of confirmed Ebola deaths,Liberia,10/3/14,934
Cumulative number of probable Ebola deaths,Liberia,10/3/14,677
Cumulative number of suspected Ebola deaths,Liberia,10/3/14,458
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,10/3/14,2069
Cumulative number of confirmed Ebola deaths,Sierra Leone,10/3/14,575
Cumulative number of probable Ebola deaths,Sierra Leone,10/3/14,37
Cumulative number of suspected Ebola deaths,Sierra Leone,10/3/14,11
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,10/3/14,623
Cumulative number of confirmed Ebola deaths,Nigeria,10/3/14,7
Cumulative number of probable Ebola deaths,Nigeria,10/3/14,1
Cumulative number of suspected Ebola deaths,Nigeria,10/3/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,10/3/14,8
Cumulative number of confirmed Ebola deaths,Senegal,10/3/14,0
Cumulative number of probable Ebola deaths,Senegal,10/3/14,0
Cumulative number of suspected Ebola deaths,Senegal,10/3/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,10/3/14,0
Cumulative number of confirmed Ebola deaths,United States of America,10/3/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,10/3/14,0
Cumulative number of confirmed Ebola cases,Guinea,10/8/14,1044
Cumulative number of probable Ebola cases,Guinea,10/8/14,180
Cumulative number of suspected Ebola cases,Guinea,10/8/14,74
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,10/8/14,1298
Cumulative number of confirmed Ebola cases,Liberia,10/8/14,941
Cumulative number of probable Ebola cases,Liberia,10/8/14,1795
Cumulative number of suspected Ebola cases,Liberia,10/8/14,1188
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,10/8/14,3924
Cumulative number of confirmed Ebola cases,Sierra Leone,10/8/14,2455
Cumulative number of probable Ebola cases,Sierra Leone,10/8/14,37
Cumulative number of suspected Ebola cases,Sierra Leone,10/8/14,297
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,10/8/14,2789
Cumulative number of confirmed Ebola cases,Nigeria,10/8/14,19
Cumulative number of probable Ebola cases,Nigeria,10/8/14,1
Cumulative number of suspected Ebola cases,Nigeria,10/8/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,10/8/14,20
Cumulative number of confirmed Ebola cases,Senegal,10/8/14,1
Cumulative number of probable Ebola cases,Senegal,10/8/14,0
Cumulative number of suspected Ebola cases,Senegal,10/8/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,10/8/14,1
Cumulative number of confirmed Ebola cases,United States of America,10/8/14,1
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,10/8/14,1
Number of confirmed Ebola cases in the last 21 days,Guinea,10/8/14,253
Number of probable Ebola cases in the last 21 days,Guinea,10/8/14,13
Number of suspected Ebola cases in the last 21 days,Guinea,10/8/14,65
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,10/8/14,331
Number of confirmed Ebola cases in the last 21 days,Liberia,10/8/14,136
Number of probable Ebola cases in the last 21 days,Liberia,10/8/14,567
Number of suspected Ebola cases in the last 21 days,Liberia,10/8/14,651
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,10/8/14,1354
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,10/8/14,924
Number of probable Ebola cases in the last 21 days,Sierra Leone,10/8/14,0
Number of suspected Ebola cases in the last 21 days,Sierra Leone,10/8/14,190
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,10/8/14,1114
Proportion of confirmed Ebola cases that are from the last 21 days,Guinea,10/8/14,24
Proportion of probable Ebola cases that are from the last 21 days,Guinea,10/8/14,7
Proportion of suspected Ebola cases that are from the last 21 days,Guinea,10/8/14,88
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Guinea,10/8/14,26
Proportion of confirmed Ebola cases that are from the last 21 days,Liberia,10/8/14,14
Proportion of probable Ebola cases that are from the last 21 days,Liberia,10/8/14,32
Proportion of suspected Ebola cases that are from the last 21 days,Liberia,10/8/14,55
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Liberia,10/8/14,34
Proportion of confirmed Ebola cases that are from the last 21 days,Sierra Leone,10/8/14,38
Proportion of probable Ebola cases that are from the last 21 days,Sierra Leone,10/8/14,0
Proportion of suspected Ebola cases that are from the last 21 days,Sierra Leone,10/8/14,64
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Sierra Leone,10/8/14,40
Cumulative number of confirmed Ebola deaths,Guinea,10/8/14,587
Cumulative number of probable Ebola deaths,Guinea,10/8/14,179
Cumulative number of suspected Ebola deaths,Guinea,10/8/14,2
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,10/8/14,768
Cumulative number of confirmed Ebola deaths,Liberia,10/8/14,1018
Cumulative number of probable Ebola deaths,Liberia,10/8/14,701
Cumulative number of suspected Ebola deaths,Liberia,10/8/14,491
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,10/8/14,2210
Cumulative number of confirmed Ebola deaths,Sierra Leone,10/8/14,725
Cumulative number of probable Ebola deaths,Sierra Leone,10/8/14,123
Cumulative number of suspected Ebola deaths,Sierra Leone,10/8/14,31
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,10/8/14,879
Cumulative number of confirmed Ebola deaths,Nigeria,10/8/14,7
Cumulative number of probable Ebola deaths,Nigeria,10/8/14,1
Cumulative number of suspected Ebola deaths,Nigeria,10/8/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,10/8/14,8
Cumulative number of confirmed Ebola deaths,Senegal,10/8/14,0
Cumulative number of probable Ebola deaths,Senegal,10/8/14,0
Cumulative number of suspected Ebola deaths,Senegal,10/8/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,10/8/14,0
Cumulative number of confirmed Ebola deaths,United States of America,10/8/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,10/8/14,0
Cumulative number of confirmed Ebola cases,Guinea,10/10/14,1097
Cumulative number of probable Ebola cases,Guinea,10/10/14,180
Cumulative number of suspected Ebola cases,Guinea,10/10/14,73
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,10/10/14,1350
Cumulative number of confirmed Ebola cases,Liberia,10/10/14,943
Cumulative number of probable Ebola cases,Liberia,10/10/14,1874
Cumulative number of suspected Ebola cases,Liberia,10/10/14,1259
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,10/10/14,4076
Cumulative number of confirmed Ebola cases,Sierra Leone,10/10/14,2593
Cumulative number of probable Ebola cases,Sierra Leone,10/10/14,37
Cumulative number of suspected Ebola cases,Sierra Leone,10/10/14,320
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,10/10/14,2950
Cumulative number of confirmed Ebola cases,Nigeria,10/10/14,19
Cumulative number of probable Ebola cases,Nigeria,10/10/14,1
Cumulative number of suspected Ebola cases,Nigeria,10/10/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,10/10/14,20
Cumulative number of confirmed Ebola cases,Senegal,10/10/14,1
Cumulative number of probable Ebola cases,Senegal,10/10/14,0
Cumulative number of suspected Ebola cases,Senegal,10/10/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,10/10/14,1
Cumulative number of confirmed Ebola cases,Spain,10/10/14,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,10/10/14,1
Cumulative number of confirmed Ebola cases,United States of America,10/10/14,1
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,10/10/14,1
Cumulative number of confirmed Ebola deaths,Guinea,10/10/14,598
Cumulative number of probable Ebola deaths,Guinea,10/10/14,180
Cumulative number of suspected Ebola deaths,Guinea,10/10/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,10/10/14,778
Cumulative number of confirmed Ebola deaths,Liberia,10/10/14,1072
Cumulative number of probable Ebola deaths,Liberia,10/10/14,725
Cumulative number of suspected Ebola deaths,Liberia,10/10/14,519
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,10/10/14,2316
Cumulative number of confirmed Ebola deaths,Sierra Leone,10/10/14,753
Cumulative number of probable Ebola deaths,Sierra Leone,10/10/14,142
Cumulative number of suspected Ebola deaths,Sierra Leone,10/10/14,35
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,10/10/14,930
Cumulative number of confirmed Ebola deaths,Nigeria,10/10/14,7
Cumulative number of probable Ebola deaths,Nigeria,10/10/14,1
Cumulative number of suspected Ebola deaths,Nigeria,10/10/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,10/10/14,8
Cumulative number of confirmed Ebola deaths,Senegal,10/10/14,0
Cumulative number of probable Ebola deaths,Senegal,10/10/14,0
Cumulative number of suspected Ebola deaths,Senegal,10/10/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,10/10/14,0
Cumulative number of confirmed Ebola deaths,Spain,10/10/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,10/10/14,0
Cumulative number of confirmed Ebola deaths,United States of America,10/10/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,10/10/14,0
Cumulative number of confirmed Ebola cases,Guinea,10/15/14,1184
Cumulative number of probable Ebola cases,Guinea,10/15/14,190
Cumulative number of suspected Ebola cases,Guinea,10/15/14,98
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,10/15/14,1472
Cumulative number of confirmed Ebola cases,Liberia,10/15/14,950
Cumulative number of probable Ebola cases,Liberia,10/15/14,1923
Cumulative number of suspected Ebola cases,Liberia,10/15/14,1376
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,10/15/14,4249
Cumulative number of confirmed Ebola cases,Sierra Leone,10/15/14,2849
Cumulative number of probable Ebola cases,Sierra Leone,10/15/14,37
Cumulative number of suspected Ebola cases,Sierra Leone,10/15/14,366
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,10/15/14,3252
Cumulative number of confirmed Ebola cases,Nigeria,10/15/14,19
Cumulative number of probable Ebola cases,Nigeria,10/15/14,1
Cumulative number of suspected Ebola cases,Nigeria,10/15/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,10/15/14,20
Cumulative number of confirmed Ebola cases,Senegal,10/15/14,1
Cumulative number of probable Ebola cases,Senegal,10/15/14,0
Cumulative number of suspected Ebola cases,Senegal,10/15/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,10/15/14,1
Cumulative number of confirmed Ebola cases,Spain,10/15/14,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,10/15/14,1
Cumulative number of confirmed Ebola cases,United States of America,10/15/14,2
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,10/15/14,2
Number of confirmed Ebola cases in the last 21 days,Guinea,10/15/14,289
Number of probable Ebola cases in the last 21 days,Guinea,10/15/14,19
Number of suspected Ebola cases in the last 21 days,Guinea,10/15/14,89
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,10/15/14,397
Number of confirmed Ebola cases in the last 21 days,Liberia,10/15/14,66
Number of probable Ebola cases in the last 21 days,Liberia,10/15/14,468
Number of suspected Ebola cases in the last 21 days,Liberia,10/15/14,555
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,10/15/14,1089
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,10/15/14,1110
Number of probable Ebola cases in the last 21 days,Sierra Leone,10/15/14,0
Number of suspected Ebola cases in the last 21 days,Sierra Leone,10/15/14,220
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,10/15/14,1330
Proportion of confirmed Ebola cases that are from the last 21 days,Guinea,10/15/14,24
Proportion of probable Ebola cases that are from the last 21 days,Guinea,10/15/14,10
Proportion of suspected Ebola cases that are from the last 21 days,Guinea,10/15/14,91
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Guinea,10/15/14,27
Proportion of confirmed Ebola cases that are from the last 21 days,Liberia,10/15/14,7
Proportion of probable Ebola cases that are from the last 21 days,Liberia,10/15/14,24
Proportion of suspected Ebola cases that are from the last 21 days,Liberia,10/15/14,40
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Liberia,10/15/14,26
Proportion of confirmed Ebola cases that are from the last 21 days,Sierra Leone,10/15/14,39
Proportion of probable Ebola cases that are from the last 21 days,Sierra Leone,10/15/14,0
Proportion of suspected Ebola cases that are from the last 21 days,Sierra Leone,10/15/14,60
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Sierra Leone,10/15/14,41
Cumulative number of confirmed Ebola deaths,Guinea,10/15/14,653
Cumulative number of probable Ebola deaths,Guinea,10/15/14,190
Cumulative number of suspected Ebola deaths,Guinea,10/15/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,10/15/14,843
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,10/15/14,2458
Cumulative number of confirmed Ebola deaths,Sierra Leone,10/15/14,926
Cumulative number of probable Ebola deaths,Sierra Leone,10/15/14,157
Cumulative number of suspected Ebola deaths,Sierra Leone,10/15/14,100
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,10/15/14,1183
Cumulative number of confirmed Ebola deaths,Nigeria,10/15/14,7
Cumulative number of probable Ebola deaths,Nigeria,10/15/14,1
Cumulative number of suspected Ebola deaths,Nigeria,10/15/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,10/15/14,8
Cumulative number of confirmed Ebola deaths,Senegal,10/15/14,0
Cumulative number of probable Ebola deaths,Senegal,10/15/14,0
Cumulative number of suspected Ebola deaths,Senegal,10/15/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,10/15/14,0
Cumulative number of confirmed Ebola deaths,Spain,10/15/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,10/15/14,0
Cumulative number of confirmed Ebola deaths,United States of America,10/15/14,1
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,10/15/14,1
Cumulative number of confirmed Ebola cases,Guinea,10/17/14,1217
Cumulative number of probable Ebola cases,Guinea,10/17/14,191
Cumulative number of suspected Ebola cases,Guinea,10/17/14,111
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,10/17/14,1519
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,10/17/14,4262
Cumulative number of confirmed Ebola cases,Sierra Leone,10/17/14,2977
Cumulative number of probable Ebola cases,Sierra Leone,10/17/14,37
Cumulative number of suspected Ebola cases,Sierra Leone,10/17/14,396
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,10/17/14,3410
Cumulative number of confirmed Ebola cases,Nigeria,10/17/14,19
Cumulative number of probable Ebola cases,Nigeria,10/17/14,1
Cumulative number of suspected Ebola cases,Nigeria,10/17/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,10/17/14,20
Cumulative number of confirmed Ebola cases,Senegal,10/17/14,1
Cumulative number of probable Ebola cases,Senegal,10/17/14,0
Cumulative number of suspected Ebola cases,Senegal,10/17/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,10/17/14,1
Cumulative number of confirmed Ebola cases,Spain,10/17/14,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,10/17/14,1
Cumulative number of confirmed Ebola cases,United States of America,10/17/14,3
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,10/17/14,3
Cumulative number of confirmed Ebola deaths,Guinea,10/17/14,671
Cumulative number of probable Ebola deaths,Guinea,10/17/14,191
Cumulative number of suspected Ebola deaths,Guinea,10/17/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,10/17/14,862
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,10/17/14,2484
Cumulative number of confirmed Ebola deaths,Sierra Leone,10/17/14,932
Cumulative number of probable Ebola deaths,Sierra Leone,10/17/14,161
Cumulative number of suspected Ebola deaths,Sierra Leone,10/17/14,107
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,10/17/14,1200
Cumulative number of confirmed Ebola deaths,Nigeria,10/17/14,7
Cumulative number of probable Ebola deaths,Nigeria,10/17/14,1
Cumulative number of suspected Ebola deaths,Nigeria,10/17/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,10/17/14,8
Cumulative number of confirmed Ebola deaths,Senegal,10/17/14,0
Cumulative number of probable Ebola deaths,Senegal,10/17/14,0
Cumulative number of suspected Ebola deaths,Senegal,10/17/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,10/17/14,0
Cumulative number of confirmed Ebola deaths,Spain,10/17/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,10/17/14,0
Cumulative number of confirmed Ebola deaths,United States of America,10/17/14,1
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,10/17/14,1
Cumulative number of confirmed Ebola cases,Guinea,10/22/14,1289
Cumulative number of probable Ebola cases,Guinea,10/22/14,193
Cumulative number of suspected Ebola cases,Guinea,10/22/14,58
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,10/22/14,1540
Cumulative number of confirmed Ebola cases,Liberia,10/22/14,965
Cumulative number of probable Ebola cases,Liberia,10/22/14,2106
Cumulative number of suspected Ebola cases,Liberia,10/22/14,1594
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,10/22/14,4665
Cumulative number of confirmed Ebola cases,Sierra Leone,10/22/14,3223
Cumulative number of probable Ebola cases,Sierra Leone,10/22/14,37
Cumulative number of suspected Ebola cases,Sierra Leone,10/22/14,446
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,10/22/14,3706
Cumulative number of confirmed Ebola cases,Spain,10/22/14,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,10/22/14,1
Cumulative number of confirmed Ebola cases,United States of America,10/22/14,3
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,10/22/14,3
Cumulative number of confirmed Ebola cases,Nigeria,10/22/14,19
Cumulative number of probable Ebola cases,Nigeria,10/22/14,1
Cumulative number of suspected Ebola cases,Nigeria,10/22/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,10/22/14,20
Cumulative number of confirmed Ebola cases,Senegal,10/22/14,1
Cumulative number of probable Ebola cases,Senegal,10/22/14,0
Cumulative number of suspected Ebola cases,Senegal,10/22/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,10/22/14,1
Number of confirmed Ebola cases in the last 7 days,Guinea,10/22/14,106
Number of probable Ebola cases in the last 7 days,Guinea,10/22/14,3
Number of suspected Ebola cases in the last 7 days,Guinea,10/22/14,0
"Number of confirmed, probable and suspected Ebola cases in the last 7 days",Guinea,10/22/14,109
Number of confirmed Ebola cases in the last 7 days,Liberia,10/22/14,17
Number of probable Ebola cases in the last 7 days,Liberia,10/22/14,185
Number of suspected Ebola cases in the last 7 days,Liberia,10/22/14,211
"Number of confirmed, probable and suspected Ebola cases in the last 7 days",Liberia,10/22/14,413
Number of confirmed Ebola cases in the last 7 days,Sierra Leone,10/22/14,374
Number of probable Ebola cases in the last 7 days,Sierra Leone,10/22/14,0
Number of suspected Ebola cases in the last 7 days,Sierra Leone,10/22/14,80
"Number of confirmed, probable and suspected Ebola cases in the last 7 days",Sierra Leone,10/22/14,454
Proportion of confirmed Ebola cases that are from the last 7 days,Guinea,10/22/14,8
Proportion of probable Ebola cases that are from the last 7 days,Guinea,10/22/14,2
Proportion of suspected Ebola cases that are from the last 7 days,Guinea,10/22/14,0
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 7 days",Guinea,10/22/14,7
Proportion of confirmed Ebola cases that are from the last 7 days,Liberia,10/22/14,2
Proportion of probable Ebola cases that are from the last 7 days,Liberia,10/22/14,9
Proportion of suspected Ebola cases that are from the last 7 days,Liberia,10/22/14,13
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 7 days",Liberia,10/22/14,9
Proportion of confirmed Ebola cases that are from the last 7 days,Sierra Leone,10/22/14,12
Proportion of probable Ebola cases that are from the last 7 days,Sierra Leone,10/22/14,0
Proportion of suspected Ebola cases that are from the last 7 days,Sierra Leone,10/22/14,18
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 7 days",Sierra Leone,10/22/14,12
Cumulative number of confirmed Ebola deaths,Guinea,10/22/14,710
Cumulative number of probable Ebola deaths,Guinea,10/22/14,193
Cumulative number of suspected Ebola deaths,Guinea,10/22/14,1
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,10/22/14,904
Cumulative number of confirmed Ebola deaths,Liberia,10/22/14,1241
Cumulative number of probable Ebola deaths,Liberia,10/22/14,803
Cumulative number of suspected Ebola deaths,Liberia,10/22/14,661
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,10/22/14,2705
Cumulative number of confirmed Ebola deaths,Sierra Leone,10/22/14,986
